Survey Introduction & Privacy Statement  ,Have you ever made an insurance claim? ,  How confident are you in understanding insurance policies and the insurance claim process?  ,"  When using services such as banking, insurance, or government services, which method do you generally prefer?  ",What type of insurance was your most recent claim related to?  , How did you first report your most recent claim?  ," Thinking about when the incident first happened, what did you find difficult or uncertain about?  ",  What did you find difficult or frustrating while reporting the claim?  ,"After your initial report, did the insurer contact you again because additional information or documents were required?  "," After submitting your initial claim report, what did you find difficult or uncertain about?  ","Thinking about the whole experience, which ONE part was the most difficult or frustrating?  ",Imagine you have just been involved in a minor car accident and need to report it to your insurer. What would you be most unsure about?  ,How would you prefer to report the incident?  ,"  When reporting an insurance claim, which THREE things would be most important to you?  ",In which situations would you prefer support from a human?  ,"How comfortable would you be using an AI assistant to help you report an insurance claim, if you could request human support at any time?  ",What would concern you most about using AI during an insurance claim?  ,"If you could change ONE thing about the insurance claim experience, what would it be?  "
"Yes, I agree to participate",No,4,Chat / Messaging;Phone call,,,,,,,,Whether I need to contact the police;Whether my insurance covers the damage;How long the process would take,Chat / Messaging,"Completing the report quickly;Using simple, easy-to-understand language;Being able to provide photos or documents easily",When my situation is complicated or unusual;When I have difficulty using the digital process,3,AI misunderstanding what happened;Privacy or security of my personal information;AI making decisions that should be made by a human,
"Yes, I agree to participate",Yes,2,Website / Online form,Motor / Vehicle,Mobile app,Taking photos or documenting the scene properly;Knowing what steps to take immediately;Assessing the extent of damage;Understanding what information I needed to collect,Could not upload documents easily;System was difficult to use;Had to repeat information multiple times,I don't remember,Not knowing the status of my claim;Uncertainty about documentation requirements;Difficulty contacting someone,Communicating with staff,,,Clear communication;Easy access to support;Fast processing,Confusing policy terms,4,Privacy concerns;AI might misunderstand my situation;Complex situations might not be handled;AI making wrong decisions;Lack of empathy,make the process clearer
"Yes, I agree to participate",No,4,Mobile app;Mobile app,,,Whether I need to contact police;How soon I need to report;Whether I should move the vehicle;What information to collect at the scene,,,,,,,,,2,AI might misunderstand my situation;Not knowing when human will intervene;Privacy concerns,quicker approval
"Yes, I agree to participate",No,3,Chat / Messaging;Chat / Messaging,,,What documentation I need;How soon I need to report;What information to collect at the scene,,,,,,,,,3,Not knowing when human will intervene;Complex situations might not be handled;Loss of personal touch;Lack of empathy,clearer next steps
"Yes, I agree to participate",No,3,Website / Online self-service;Mobile app;Chat / Messaging;In-person service,,,,,,,,What I should do immediately;What photos or evidence I should take,Website / Online form;Mobile app;Chat / Messaging,"Using simple, easy-to-understand language;Being able to provide photos or documents easily;Knowing what happens next",Immediately after a serious or stressful incident;When my situation is complicated or unusual;When there is a disagreement about the claim,4,AI misunderstanding what happened;Difficulty explaining a complicated or unusual situation,Efficiently.
"Yes, I agree to participate",No,2,Chat / Messaging;Mobile app,,,What documentation I need;What information to collect at the scene;Whether I should move the vehicle;Whether I need to contact police,,,,,,,,,2,AI making wrong decisions;Complex situations might not be handled;AI might misunderstand my situation,know timeline from start
"Yes, I agree to participate",Yes,3,In-person service,Motor / Vehicle,Mobile app,Understanding my policy coverage,Could not upload documents easily,"Yes, multiple times",Not knowing the status of my claim;Difficulty contacting someone;Different staff gave different information;No updates unless I called,Providing documentation,,,Easy access to support;Clear communication;Fast processing,Confusing policy terms;Need reassurance;Difficulty using digital channels,2,Lack of empathy,know exactly what docs needed
"Yes, I agree to participate",No,3,Mobile app;Mobile app,,,What documentation I need,,,,,,,,,4,Not knowing when human will intervene;Loss of personal touch;Lack of empathy;AI might misunderstand my situation;Complex situations might not be handled,not sure
"Yes, I agree to participate",No,5,Website / Online form;Website / Online form;Mobile app,,,Whether I need to contact police;How to exchange information with other party;What my policy covers,,,,,,,,,4,Not knowing when human will intervene;Privacy concerns;AI might misunderstand my situation;Complex situations might not be handled;Lack of empathy,faster response time
"Yes, I agree to participate",No,3,Mobile app;Mobile app,,,How soon I need to report;What documentation I need;Whether I need to contact police,,,,,,,,,2,Lack of empathy;AI making wrong decisions;Technical errors;Complex situations might not be handled,faster response time
"No, I do not wish to participate",,,,,,,,,,,,,,,,,
"Yes, I agree to participate",No,2,No strong preference,,,,,,,,What I should do immediately;What photos or evidence I should take,Website / Online form,"Completing the report quickly;Knowing exactly what information I need;Using simple, easy-to-understand language",Immediately after a serious or stressful incident;When my situation is complicated or unusual,5,I would have no major concerns,the progress
"Yes, I agree to participate",No,2,Website / Online form;Mobile app;Website / Online form,,,What information to collect at the scene;How to exchange information with other party;How soon I need to report,,,,,,,,,1,AI making wrong decisions;Complex situations might not be handled,know timeline from start
"Yes, I agree to participate",Yes,4,Mobile app;Chat / Messaging,Motor / Vehicle;Contents / Personal belongings,Email,I didn't know what I should do first;I didn't know what information I needed to collect;I didn't know what photos or evidence I needed,Uploading photos or documents was difficult;Insurance terminology was difficult to understand,"Yes, once",I didn't know how long the process would take,Understanding my insurance coverage,,,Being able to provide photos or documents easily;Knowing what happens next,When I have difficulty using the digital process,3,AI making decisions that should be made by a human;Difficulty explaining a complicated or unusual situation,
"Yes, I agree to participate",No,3,Chat / Messaging;Mobile app,,,How soon I need to report;How to exchange information with other party;What documentation I need,,,,,,,,,3,Technical errors,clearer requirements upfront
"Yes, I agree to participate",Yes,2,Mobile app;Chat / Messaging;Phone call;In-person service,Motor / Vehicle;Contents / Personal belongings;Travel,Phone call,I didn't know what I should do first;I didn't know what information I needed to collect;I didn't know what photos or evidence I needed;I didn't know whether I needed to contact the police or another party;I wasn't sure whether the incident was covered by my insurance;I was stressed and found it difficult to think about the process;I didn't experience any major difficulty,The process took too long;There were too many questions;I didn't know what information was required;Insurance terminology was difficult to understand,"Yes, multiple times",I wasn't sure whether I had provided everything required;I didn't know what would happen next;I didn't know how long the process would take;I didn't know the status of my claim;I wasn't sure who to contact for help;I had to contact the insurer for updates,Knowing what information or evidence to collect,,,Knowing exactly what information I need;Understanding whether my incident is covered;Knowing what happens next,Immediately after a serious or stressful incident;When I don't understand what information is required;When my situation is complicated or unusual;When I have difficulty using the digital process;When there is a disagreement about the claim;I would usually prefer to complete the process myself,4,AI misunderstanding what happened;Privacy or security of my personal information;AI making decisions that should be made by a human;Difficulty explaining a complicated or unusual situation;Not knowing when a human is involved,"complete all the things in one go,pleeeeeeease"
"Yes, I agree to participate",No,3,Mobile app;Website / Online form;Mobile app,,,What information to collect at the scene;What my policy covers;What documentation I need;How soon I need to report,,,,,,,,,4,Complex situations might not be handled;Not knowing when human will intervene;AI might misunderstand my situation;Lack of empathy,faster response time
"Yes, I agree to participate",No,2,Chat / Messaging;Chat / Messaging,,,How to exchange information with other party,,,,,,,,,4,AI making wrong decisions;Lack of empathy;Technical errors,make the process clearer
"Yes, I agree to participate",No,2,Chat / Messaging;Mobile app,,,How to exchange information with other party;Whether I need to contact police;Whether I should move the vehicle;What documentation I need,,,,,,,,,4,Loss of personal touch;Complex situations might not be handled;AI might misunderstand my situation;Technical errors;Privacy concerns,clearer next steps
"Yes, I agree to participate",No,3,In-person service;Phone call,,,Whether I should move the vehicle,,,,,,,,,4,Loss of personal touch;Not knowing when human will intervene;Complex situations might not be handled,pass
"Yes, I agree to participate",No,4,In-person service;Phone call,,,What my policy covers;What documentation I need;Whether I need to contact police;What information to collect at the scene,,,,,,,,,3,Technical errors;AI making wrong decisions;AI might misunderstand my situation,not sure
"Yes, I agree to participate",No,3,Website / Online self-service,,,,,,,,What I should do immediately;I would know what to do,Phone call,Completing the report quickly;Understanding whether my incident is covered;Being able to track the progress of my claim,Immediately after a serious or stressful incident,3,AI misunderstanding what happened;AI making decisions that should be made by a human;Difficulty explaining a complicated or unusual situation;Not knowing when a human is involved,average turnaround time for claims
"Yes, I agree to participate",Yes,4,Mobile app,Home / Property,Mobile app,I didn't know what photos or evidence I needed;I was stressed and found it difficult to think about the process;I didn't experience any major difficulty,I had to repeat information I had already provided;Uploading photos or documents was difficult;I had to wait for customer service,I don't remember,I wasn't sure who to contact for help;I had to contact the insurer for updates,Getting updates about the claim,,,Completing the report quickly;Understanding whether my incident is covered;Being able to provide photos or documents easily,When I don't understand what information is required,3,Privacy or security of my personal information,
"Yes, I agree to participate",No,3,In-person service;Phone call,,,Whether I need to contact police;What information to collect at the scene;Whether I should move the vehicle;How soon I need to report,,,,,,,,,4,Privacy concerns;AI making wrong decisions;AI might misunderstand my situation;Technical errors;Complex situations might not be handled,clearer next steps
"Yes, I agree to participate",Yes,2,In-person service,Motor / Vehicle,Website / Online form,Knowing whether to involve police or other authorities;Taking photos or documenting the scene properly;Understanding my policy coverage;Finding contact information for my insurer,Could not upload documents easily;Confusing terminology;Uncertain about policy coverage;Long wait times;System was difficult to use,"Yes, multiple times",Difficulty contacting someone;Uncertainty about documentation requirements;Different staff gave different information;Unclear about next steps,Communicating with staff,,,Easy access to support;Knowing what to expect at each stage;Simple documentation process,Dispute or disagreement;Urgent matter;Complex situation;Confusing policy terms,3,Technical errors;Complex situations might not be handled,simpler language
"Yes, I agree to participate",No,3,Chat / Messaging;Chat / Messaging,,,What my policy covers;What information to collect at the scene;What documentation I need,,,,,,,,,2,Privacy concerns;AI might misunderstand my situation;Complex situations might not be handled,dont have to repeat info
"Yes, I agree to participate",No,2,Mobile app;Phone call;In-person service,,,,,,,,What photos or evidence I should take;Whether my insurance covers the damage;How long the process would take,Phone call;Mobile app,Knowing exactly what information I need;Knowing what happens next;Being able to track the progress of my claim,Immediately after a serious or stressful incident;When I don't understand what information is required;When my situation is complicated or unusual,3,Difficulty explaining a complicated or unusual situation,Make the insurance regulations clearer
"Yes, I agree to participate",Yes,3,Website / Online self-service,Home / Property,Phone call,Understanding my policy coverage,Could not upload documents easily,"Yes, multiple times",Not knowing the status of my claim;No updates unless I called,Initial reporting,,,Knowing what to expect at each stage;Clear communication;Simple documentation process,Confusing policy terms;Difficulty using digital channels;Dispute or disagreement,1,AI making wrong decisions;AI might misunderstand my situation,less waiting
"Yes, I agree to participate",Yes,3,Mobile app;Phone call;In-person service,Travel;Health,Phone call,I didn't know what I should do first;I didn't know what information I needed to collect;I wasn't sure whether the incident was covered by my insurance,The process took too long;There were too many questions;I had to repeat information I had already provided;I had to wait for customer service,I don't remember,I wasn't sure whether I had provided everything required;I didn't know how long the process would take;I didn't know the status of my claim;I had to contact the insurer for updates,Getting updates about the claim,,,Knowing exactly what information I need;Understanding whether my incident is covered;Being able to provide photos or documents easily;Being able to track the progress of my claim,Immediately after a serious or stressful incident;When my situation is complicated or unusual;When I have difficulty using the digital process;When there is a disagreement about the claim,3,AI misunderstanding what happened;Privacy or security of my personal information;Not knowing when a human is involved,
"Yes, I agree to participate",No,3,Phone call;Phone call,,,Whether I should move the vehicle,,,,,,,,,4,Not knowing when human will intervene;AI might misunderstand my situation;Technical errors,one person to talk to
"Yes, I agree to participate",Yes,3,Chat / Messaging,Health,Phone call,Understanding my policy coverage;Understanding what information I needed to collect;Taking photos or documenting the scene properly;Assessing the extent of damage,Confusing terminology;Unclear what information was required;System was difficult to use,"Yes, multiple times",Difficulty contacting someone;Different staff gave different information;Unclear about next steps;Not knowing the status of my claim,Initial reporting,,,Easy to understand requirements;Fast processing;Transparent status updates,Urgent matter;Confusing policy terms;Technical issues,4,AI making wrong decisions,more human contact when needed
"Yes, I agree to participate",No,1,Website / Online self-service;Mobile app,,,Whether I need to contact police;What documentation I need,,,,,,,,,3,AI making wrong decisions;Technical errors;Complex situations might not be handled,...
"Yes, I agree to participate",Yes,3,In-person service,Motor / Vehicle,Mobile app,Assessing the extent of damage;Understanding what information I needed to collect;Knowing whether to involve police or other authorities;Understanding my policy coverage,Could not upload documents easily,"Yes, multiple times",Uncertainty about documentation requirements;Unclear about next steps,Tracking status,,,Easy access to support;Knowing what to expect at each stage;Transparent status updates,Technical issues;Difficulty using digital channels;Urgent matter,2,Loss of personal touch,get updates without asking
"Yes, I agree to participate",Yes,5,Website / Online self-service;Phone call,Home / Property,Mobile app,I didn't know what information I needed to collect,There were too many questions,"Yes, multiple times",I didn't know the status of my claim,Knowing what information or evidence to collect,,,Completing the report quickly,When I don't understand what information is required,4,Privacy or security of my personal information,
"Yes, I agree to participate",Yes,5,Mobile app,Home / Property,Website / Online form,Finding contact information for my insurer;Taking photos or documenting the scene properly;Understanding what information I needed to collect;Assessing the extent of damage,Unclear what information was required,I don't remember,Long processing time;Not knowing the status of my claim;Uncertainty about documentation requirements;No updates unless I called;Difficulty contacting someone,Communicating with staff,,,Simple documentation process;Transparent status updates;Knowing what to expect at each stage,Dispute or disagreement;Need reassurance,4,Loss of personal touch;Complex situations might not be handled;Privacy concerns,quicker approval
"Yes, I agree to participate",No,2,In-person service;Phone call,,,What information to collect at the scene,,,,,,,,,4,Privacy concerns;AI making wrong decisions;Lack of empathy;Technical errors;Not knowing when human will intervene,one person to talk to
"Yes, I agree to participate",No,3,Chat / Messaging;Mobile app;Chat / Messaging,,,What my policy covers;How to exchange information with other party;Whether I need to contact police,,,,,,,,,4,Not knowing when human will intervene;Complex situations might not be handled;AI making wrong decisions;Privacy concerns;Technical errors,less waiting
"Yes, I agree to participate",No,2,Chat / Messaging;Mobile app;Chat / Messaging,,,What my policy covers;What information to collect at the scene;Whether I need to contact police;How soon I need to report,,,,,,,,,3,Loss of personal touch;AI might misunderstand my situation;AI making wrong decisions;Not knowing when human will intervene,faster claim settlement
"Yes, I agree to participate",No,3,In-person service;Phone call,,,How soon I need to report;What my policy covers;What documentation I need;How to exchange information with other party,,,,,,,,,4,Complex situations might not be handled;Not knowing when human will intervene;Technical errors;Lack of empathy,one person to talk to
"Yes, I agree to participate",Yes,4,Mobile app,Motor / Vehicle,Phone call,Understanding what information I needed to collect;Understanding my policy coverage;Knowing what steps to take immediately;Taking photos or documenting the scene properly,Unclear what information was required;Uncertain about policy coverage;System was difficult to use;Confusing terminology;Long wait times,"Yes, multiple times",Difficulty contacting someone;Unclear about next steps;Uncertainty about documentation requirements;No updates unless I called;Different staff gave different information,Providing documentation,,,Knowing what to expect at each stage;Simple documentation process;Easy access to support,Technical issues;Complex situation;Difficulty using digital channels;High-value claim,4,AI might misunderstand my situation,make the process clearer
"Yes, I agree to participate",No,4,Mobile app;Website / Online form;Mobile app,,,Whether I need to contact police,,,,,,,,,5,Not knowing when human will intervene,know timeline from start
"Yes, I agree to participate",Yes,3,Website / Online form,Health,Mobile app,Knowing what steps to take immediately;Knowing whether to involve police or other authorities;Finding contact information for my insurer;Taking photos or documenting the scene properly,Long wait times;Had to repeat information multiple times;System was difficult to use;Unclear what information was required;Uncertain about policy coverage,"Yes, multiple times",No updates unless I called;Not knowing the status of my claim;Unclear about next steps;Difficulty contacting someone,Providing documentation,,,Simple documentation process;Easy to understand requirements;Transparent status updates,Technical issues;Dispute or disagreement,4,AI might misunderstand my situation;Not knowing when human will intervene;Privacy concerns,understand coverage better
"Yes, I agree to participate",Yes,3,Chat / Messaging,Home / Property,Phone call,Finding contact information for my insurer;Understanding what information I needed to collect,Uncertain about policy coverage;Long wait times;Had to repeat information multiple times;System was difficult to use;Unclear what information was required,I don't remember,Not knowing the status of my claim;Uncertainty about documentation requirements;No updates unless I called;Long processing time,Providing documentation,,,Simple documentation process;Knowing what to expect at each stage;Clear communication,Technical issues;Dispute or disagreement;Need reassurance,4,Technical errors;AI might misunderstand my situation;AI making wrong decisions;Complex situations might not be handled,dont have to repeat info
"Yes, I agree to participate",No,5,Chat / Messaging;Chat / Messaging;Mobile app,,,Whether I should move the vehicle,,,,,,,,,4,Complex situations might not be handled,clearer requirements upfront
"Yes, I agree to participate",No,3,In-person service;Phone call,,,What my policy covers,,,,,,,,,3,Lack of empathy,more transparency
"Yes, I agree to participate",Yes,3,Phone call,Home / Property,Phone call,Finding contact information for my insurer,Unclear what information was required;Uncertain about policy coverage,I don't remember,Uncertainty about documentation requirements;No updates unless I called,Waiting for assessment,,,Fast processing;Clear communication;Transparent status updates,Difficulty using digital channels;High-value claim;Confusing policy terms;Complex situation;Need reassurance,4,Lack of empathy;Privacy concerns;Complex situations might not be handled;Not knowing when human will intervene,dont know
"Yes, I agree to participate",No,3,In-person service;Phone call,,,How soon I need to report,,,,,,,,,4,AI making wrong decisions;Lack of empathy;AI might misunderstand my situation;Loss of personal touch,one person to talk to
"Yes, I agree to participate",Yes,3,Chat / Messaging,Motor / Vehicle,Phone call,Finding contact information for my insurer;Taking photos or documenting the scene properly;Knowing whether to involve police or other authorities;Understanding what information I needed to collect,Long wait times,"Yes, multiple times",Difficulty contacting someone;Not knowing the status of my claim;No updates unless I called;Different staff gave different information,Communicating with staff,,,Clear communication;Easy to understand requirements;Fast processing,High-value claim,4,AI making wrong decisions;Privacy concerns;Technical errors;Loss of personal touch,not sure
"Yes, I agree to participate",No,2,Chat / Messaging;Mobile app,,,Whether I should move the vehicle;What my policy covers;How soon I need to report;What documentation I need,,,,,,,,,1,Complex situations might not be handled;AI making wrong decisions;Privacy concerns;Loss of personal touch,less waiting
"Yes, I agree to participate",No,2,In-person service;Phone call,,,How soon I need to report;How to exchange information with other party;What my policy covers,,,,,,,,,3,Lack of empathy;Loss of personal touch;Technical errors;Complex situations might not be handled;Privacy concerns,know whats happening with my claim
"Yes, I agree to participate",No,3,Mobile app;Website / Online form,,,What information to collect at the scene;What documentation I need,,,,,,,,,1,Lack of empathy;Technical errors;Complex situations might not be handled,faster response time
"Yes, I agree to participate",Yes,5,Mobile app,Motor / Vehicle,Website / Online form,Finding contact information for my insurer;Understanding what information I needed to collect;Knowing whether to involve police or other authorities;Assessing the extent of damage,Long wait times;Unclear what information was required;System was difficult to use;Confusing terminology;Could not upload documents easily,"Yes, once",Not knowing the status of my claim;Uncertainty about documentation requirements,Providing documentation,,,Transparent status updates;Easy access to support;Simple documentation process,Need reassurance,4,AI making wrong decisions;Technical errors;Loss of personal touch;Privacy concerns;Not knowing when human will intervene,avoid repeating same story
"Yes, I agree to participate",Yes,4,Phone call,Home / Property,Mobile app,Understanding what information I needed to collect;Finding contact information for my insurer;Knowing what steps to take immediately;Taking photos or documenting the scene properly,Uncertain about policy coverage;Confusing terminology,"Yes, multiple times",Difficulty contacting someone;Not knowing the status of my claim;No updates unless I called;Different staff gave different information,Providing documentation,,,Easy access to support;Transparent status updates;Clear communication,Confusing policy terms;Complex situation;Need reassurance;Difficulty using digital channels,3,Lack of empathy;Technical errors;Not knowing when human will intervene;AI might misunderstand my situation;AI making wrong decisions,get updates without asking
"Yes, I agree to participate",No,2,Website / Online self-service;Mobile app;Chat / Messaging;In-person service,,,,,,,,What I should do immediately;What photos or evidence I should take;Whether my insurance covers the damage;How long the process would take,Phone call,"Using simple, easy-to-understand language;Knowing what happens next;Being able to track the progress of my claim",When I don't understand what information is required;When my situation is complicated or unusual,4,Difficulty explaining a complicated or unusual situation,im not sure
"Yes, I agree to participate",No,3,In-person service;Phone call,,,What information to collect at the scene;How to exchange information with other party;How soon I need to report;Whether I need to contact police,,,,,,,,,4,Loss of personal touch;AI might misunderstand my situation;AI making wrong decisions,clearer next steps
"Yes, I agree to participate",No,5,Chat / Messaging;Chat / Messaging;Mobile app,,,Whether I should move the vehicle,,,,,,,,,4,Technical errors;AI might misunderstand my situation;Privacy concerns;Complex situations might not be handled;Loss of personal touch,know whats happening with my claim
"Yes, I agree to participate",No,2,Chat / Messaging;Mobile app,,,How soon I need to report;What documentation I need;How to exchange information with other party,,,,,,,,,3,AI making wrong decisions;Lack of empathy;Technical errors;Loss of personal touch;Complex situations might not be handled,aaa
"Yes, I agree to participate",No,3,Website / Online form;Mobile app,,,What documentation I need;What information to collect at the scene;How soon I need to report,,,,,,,,,5,Lack of empathy;Loss of personal touch;Privacy concerns;AI making wrong decisions;Technical errors,easier upload process
"Yes, I agree to participate",No,4,Phone call;Phone call,,,What information to collect at the scene;How soon I need to report;Whether I need to contact police;Whether I should move the vehicle,,,,,,,,,4,AI making wrong decisions;Complex situations might not be handled;Technical errors,less confusing terms
"Yes, I agree to participate",No,3,Chat / Messaging;Mobile app,,,How soon I need to report;What documentation I need;What my policy covers,,,,,,,,,3,Privacy concerns;Complex situations might not be handled;AI making wrong decisions,avoid repeating same story
"Yes, I agree to participate",Yes,2,Chat / Messaging,Health,Mobile app,Finding contact information for my insurer,Uncertain about policy coverage;Unclear what information was required;Confusing terminology,"Yes, once",Not knowing the status of my claim,Initial reporting,,,Simple documentation process;Fast processing;Knowing what to expect at each stage,Urgent matter,3,Loss of personal touch;Technical errors;AI making wrong decisions,fewer forms to fill
"Yes, I agree to participate",Yes,3,Website / Online self-service,Home / Property,Mobile app,Understanding my policy coverage;Knowing whether to involve police or other authorities,Unclear what information was required,"Yes, once",Long processing time;Difficulty contacting someone,Tracking status,,,Easy to understand requirements;Knowing what to expect at each stage;Clear communication,Technical issues,2,AI making wrong decisions;Complex situations might not be handled;Lack of empathy;AI might misunderstand my situation,more human contact when needed
"Yes, I agree to participate",Yes,5,Chat / Messaging,Motor / Vehicle,Phone call,Finding contact information for my insurer;Assessing the extent of damage;Knowing whether to involve police or other authorities,Confusing terminology;Uncertain about policy coverage,I don't remember,Different staff gave different information;No updates unless I called;Uncertainty about documentation requirements;Not knowing the status of my claim,Understanding requirements,,,Fast processing;Simple documentation process;Easy to understand requirements,Confusing policy terms;Difficulty using digital channels,5,Privacy concerns;Technical errors;Loss of personal touch,understand coverage better
"Yes, I agree to participate",No,2,Phone call;Phone call,,,What documentation I need;Whether I need to contact police,,,,,,,,,4,Complex situations might not be handled;AI making wrong decisions;Not knowing when human will intervene;AI might misunderstand my situation,more transparency
"Yes, I agree to participate",No,3,Website / Online form;Mobile app,,,How to exchange information with other party;What documentation I need;Whether I should move the vehicle;How soon I need to report,,,,,,,,,4,AI making wrong decisions;Technical errors;Not knowing when human will intervene;Loss of personal touch;AI might misunderstand my situation,one person to talk to
"Yes, I agree to participate",No,3,Chat / Messaging;Chat / Messaging;Mobile app,,,How soon I need to report;What my policy covers;Whether I should move the vehicle;What information to collect at the scene,,,,,,,,,3,Complex situations might not be handled;Privacy concerns;AI might misunderstand my situation,idk
"Yes, I agree to participate",Yes,2,Mobile app,Health,Phone call,Finding contact information for my insurer;Knowing what steps to take immediately;Knowing whether to involve police or other authorities,Unclear what information was required;Could not upload documents easily;Confusing terminology;Uncertain about policy coverage;System was difficult to use,"Yes, multiple times",Uncertainty about documentation requirements,Communicating with staff,,,Clear communication;Easy to understand requirements;Simple documentation process,Difficulty using digital channels;Confusing policy terms;Complex situation,4,Lack of empathy;Complex situations might not be handled;AI might misunderstand my situation,make the process clearer
"Yes, I agree to participate",No,3,Website / Online self-service;Mobile app;Chat / Messaging;Phone call,,,,,,,,What I should do immediately;What photos or evidence I should take;Whether I need to contact the police;Whether my insurance covers the damage,Phone call;Website / Online form;Mobile app;Chat / Messaging,Knowing exactly what information I need;Understanding whether my incident is covered;Being able to track the progress of my claim,Immediately after a serious or stressful incident;When my situation is complicated or unusual;When there is a disagreement about the claim,4,Privacy or security of my personal information;Difficulty explaining a complicated or unusual situation,
"Yes, I agree to participate",No,3,Website / Online self-service;Website / Online form;Mobile app,,,How soon I need to report;What documentation I need;Whether I should move the vehicle,,,,,,,,,4,Not knowing when human will intervene;Technical errors;AI might misunderstand my situation,make the process clearer
"Yes, I agree to participate",No,2,Website / Online form;Mobile app;Website / Online form,,,What my policy covers;What documentation I need;How to exchange information with other party;Whether I need to contact police,,,,,,,,,3,Complex situations might not be handled;Not knowing when human will intervene;Technical errors;Lack of empathy,know exactly what docs needed
